Name, TotalSnowfall, mcnt
LONG PINE 0.4 W, M, 3475
JOHNSTOWN 5.0 NE, M, 3479
JOHNSTOWN 8.8 N, M, 3433
AINSWORTH 18.7 SW, M, 2952
AINSWORTH 17.8 SSW, M, 3578
PLEASANTON 1.4 ENE, M, 2457
AMHERST 3.1 WNW, M, 3386
GIBBON 25.5 SE, M, 3450
OAKLAND 1.6 N, M, 3239
CRAIG 2.2 W, M, 3587
RISING CITY 3.1 WNW, M, 3290
BELLWOOD 0.2 ESE, M, 3601
ULYSSES 8.6 W, M, 3559
IMPERIAL 7.3 WNW, M, 3399
VENANGO 11.5 SE, M, 3596
LAMAR 1.7 SSW, M, 3128
IMPERIAL 5.4 WNW, M, 2863
IMPERIAL 10.4 NW, M, 3566
WAUNETA 11.4 NNW, M, 3530
WAUNETA 16.6 NNW, M, 3512
MULLEN 21.4 N, M, 3436
THEDFORD 11.8 NNE, M, 3565
VALENTINE 42.9 SSE, M, 3561
SPARKS 4.3 NNE, M, 3403
VALENTINE 28.7 S, M, 3329
HYANNIS 13.7 N, M, 3303
VALENTINE 15.0 SSE, M, 3445
VALENTINE 33.1 SW, M, 3320
BROWNLEE 4.5 N, M, 3421
VALENTINE 41.2 SSE, M, 3453
VALENTINE 12.2 SSW, M, 3561
MERRIMAN 5.3 N, M, 3066
VALENTINE 7.6 N, M, 3627
VALENTINE 17.8 SSW, M, 3514
CODY 3.0 SW, M, 3476
CODY 20.9 WSW, M, 3524
DALTON 0.2 NE, M, 3421
SIDNEY 17.9 E, M, 3445
SIDNEY 9.1 ESE, M, 3578
LODGEPOLE 6.9 NW, M, 3420
SIDNEY 9.9 ENE, M, 3350
DALTON 7.6 WSW, M, 3288
POTTER 3.9 NE, M, 3564
POTTER 6.6 ESE, M, 3049
SIDNEY 17.2 WSW, M, 3582
GURLEY 3.6 SE, M, 3396
SIDNEY 23.8 ESE, M, 3376
SIDNEY 13.1 WSW, M, 3305
SUTTON 0.6 NE, M, 3385
FAIRFIELD 6.1 W, M, 3565
GLENVIL 4.3 SE, M, 3611
FAIRFIELD 1.6 S, M, 1953
SUTTON 0.7 SW, M, 3531
HARVARD 0.2 ESE, M, 3036
COLUMBUS 6.2 E, M, 3554
WEST POINT 5.3 WSW, M, 3317
BANCROFT 7.1 W, M, 3418
BANCROFT 0.2 NW, M, 3107
OCONTO 0.9 ESE, M, 3144
ANSLEY 0.4 E, M, 3059
ANSELMO 6.1 E, M, 3577
BROKEN BOW 12.3 S, M, 3377
MILBURN 1.9 ENE, M, 3572
SARGENT 0.9 W, M, 3527
MERNA 7.9 WSW, M, 3278
CHADRON 0.6 WNW, M, 3375
BENKELMAN 3.7 WNW, M, 3151
WAUNETA 10.0 SW, M, 3455
WAUNETA 5.9 SSE, M, 2952
PARKS 13.8 N, M, 3487
FAIRMONT 1.5 E, M, 3108
SHICKLEY 2.7 S, M, 2816
GENEVA 0.5 SSW, M, 3407
FAIRMONT 3.6 ENE, M, 3404
SHICKLEY 5.1 NNW, M, 3391
MILLIGAN 3.5 NW, M, 3167
GENEVA 0.1 W, M, 3590
NAPONEE 0.1 NNE, M, 3390
HILDRETH 0.1 ESE, M, 1979
INDIANOLA 9.5 N, M, 2778
MCCOOK 13.9 N, M, 3295
FARNAM 11.9 SSW, M, 3094
ARAPAHOE 4.2 W, M, 2840
WILSONVILLE 9.1 SE, M, 3276
ARAPAHOE 0.4 NW, M, 3478
CAMBRIDGE 0.7 WNW, M, 3461
BEATRICE 1.0 NE, M, 3341
ODELL 4.3 WSW, M, 3524
LIBERTY 3.1 SW, M, 3356
WILBER 6.9 E, M, 3364
ODELL 2.7 ENE, M, 3488
ADAMS 0.4 S, M, 3231
BEATRICE 1.7 E, M, 3021
OSHKOSH 5.2 W, M, 3311
LODGEPOLE 8.5 NE, M, 3495
BURWELL 20.1 NE, M, 2892
BURWELL 7.2 ESE, M, 3344
BURWELL 2.1 SSW, M, 1738
BERTRAND 9.2 SSW, M, 2381
ARAPAHOE 6.9 NW, M, 2992
BERTRAND 8.3 SSW, M, 3328
HYANNIS 0.4 E, M, 3163
WHITMAN 13.8 SSE, M, 3443
WHITMAN 5.6 SE, M, 3580
SCOTIA 13.2 N, M, 3119
WOLBACH 5.0 NW, M, 3198
WOOD RIVER 0.2 NNE, M, 3172
WOOD RIVER 5.2 SSE, M, 3006
KENESAW 6.1 NNW, M, 3321
GRAND ISLAND 2.1 SW, M, 3491
HORDVILLE 1.5 S, M, 3177
MARQUETTE 3.2 E, M, 3194
PHILLIPS 0.2 SSW, M, 3436
