Name, MeanAvgTemperature, mcnt
GORDON 3 W, M, 16684
CHAPPELL, M, 13815
BAYARD 4 NNE, M, 16450
CALLAWAY 8WSW, M, 16517
CLAY CTR 6 ESE, M, 14911
OMAHA EPPLEY AIRFIELD, 51.1, 4
CHADRON MUNI AP, M, 5035
CHADRON 3 SW, M, 9376
BURWELL, M, 2680
FALLS CITY, M, 12105
FALLS CITY BRENNER FLD, M, 465
BROADWATER 10SSE, M, 17105
AGATE NEBRASKA, M, 12766
BESSY NEBRASKA, M, 8778
BRAVO 01 NEBRASKA, M, 15341
CRESCENT LAKE NEBRASKA, M, 13742
ECHO 01 NEBRASKA, M, 14333
FOX 01 NEBRASKA, M, 15125
KINGS CANYON NEBRASKA, M, 9452
SCOTTS BLUFF NEBRASKA, M, 13650
VALENTINE NEBRASKA, M, 14735
WAUNETA, M, 15262
ENDERS LAKE, M, 3482
GENEVA, M, 209
MINDEN, M, 151
HAYES CENTER, M, 355
IMPERIAL MUNI AP, M, 10372
IMPERIAL, M, 897
HASTINGS 4 N, M, 466
HICKMAN, M, 18263
FAIRMONT, M, 1632
CURTIS 3 NNE, M, 1914
CRETE, M, 1063
NEBRASKA CITY 2NW, M, 736
SYRACUSE, M, 422
ROCA 6NNE, M, 18263
FRIEND 3E, M, 15437
EUSTIS 2 NW, M, 13395
MOOREFIELD, M, 15654
BENNET, M, 18251
KEARNEY MUNI AP, M, 14304
KEARNEY 4 NE, M, 670
LINCOLN COLLEGE VIEW, M, 17720
WELLFLEET, M, 18214
LINCOLN UNIV PWR PLT, M, 7025
WALLACE 2 W, M, 756
WEEPING WATER, M, 2109
LINCOLN AGRNMY FARM, M, 16870
MERRIMAN, M, 3000
FRANKLIN 2, M, 9598
NENZEL 23 SSW, M, 14085
OVERTON 3 W, M, 12672
BEATRICE 1N, M, 8413
CRAWFORD, M, 12688
CROFTON, M, 8694
BENKELMAN 1SW, M, 18254
BENKELMAN 2 SSW, M, 18246
PAPILLION, M, 18263
STAPLETON 5 W, M, 9115
NEBRASKA CITY 2, M, 17616
OXFORD 7 NW, M, 11022
VALLEY 1 WNW, M, 10979
SPRINGFIELD 7 E, M, 13964
RULO 2W, M, 13605
YORK, M, 16318
GRAND ISLAND, M, 16037
TRYON 15 NW, M, 18232
GRETNA 4 NE, M, 13018
HYANNIS 5N, M, 14750
ASHBY 20 SSW, M, 18072
IMPERIAL 13 N, M, 17675
HASKELL AG LAB, M, 15661
KILGORE 1 NE, M, 12632
NORTH PLATTE 10 S, M, 16444
VALENTINE #1, M, 13042
NORFOLK 4W, M, 12188
LODGEPOLE 8N, M, 12449
SWAN LAKE, M, 13659
MC COOK, M, 9303
MCCOOK, M, 17279
MCCOOK MUNI AP, M, 4551
NORFOLK KARL STEFAN AP, 49.1, 4
LEXINGTON KELLY FLD, M, 13719
LEXINGTON 7 ESE, M, 15674
CLAY CTR, M, 3212
LINCOLN MUNI AP, M, 2802
YORK, M, 2523
AURORA, M, 2772
MADRID, M, 758
SEWARD, M, 281
UTICA, M, 18263
GOTHENBURG, M, 387
RAYMOND 2NE, M, 12989
GRAND ISLAND AP, 50.6, 1
RAVENNA, M, 396
ASHLAND 2, M, 681
SURPRISE, M, 8481
OCONTO, M, 989
NORTH PLATTE EXP FM, M, 339
BIG SPRINGS, M, 1753
BELLEVUE OFFUTT AFB, M, 16122
ULYSSES 3 NNE, M, 17950
CENTRAL CITY, M, 324
NORTH PLATTE RGNL AP, 48.6, 0
OGALLALA, M, 1019
SIDNEY MUNI AP, M, 3597
SIDNEY 6 NNW, M, 1150
MEAD 6 S, M, 1990
OSCEOLA, M, 302
HERSHEY 5 SSE, M, 2074
LODGEPOLE, M, 793
WAHOO, M, 4647
SAINT PAUL, M, 2958
MASON CITY, M, 8395
KINGSLEY DAM, M, 633
POTTER, M, 15469
KIMBALL 2NE, M, 320
BUSHNELL, M, 18253
BOYS TOWN, M, 18263
DAVID CITY, M, 143
LOUP CITY, M, 2017
LEWELLEN, M, 16275
BENNINGTON 3 WSW, M, 18059
FREMONT, M, 142
ARCADIA, M, 18233
BROKEN BOW #2, M, 18226
BROKEN BOW 2 W, M, 548
ARNOLD, M, 8719
STAPLETON 5 SSE, M, 11461
OSHKOSH, M, 296
DALTON, M, 159
BROKEN BOW MUNI AP, M, 12651
SCHUYLER, M, 17988
COLUMBUS 3 NE, M, 175
GENOA 2 W, M, 22
NORTH LOUP, M, 2242
BLAIR, M, 5303
GREELEY, M, 626
COMSTOCK, M, 13517
ARTHUR, M, 516
ORD, M, 17841
ANSELMO 2 SE, M, 595
TRYON 6 NE, M, 17116
ORD EVELYN SHARP FLD, M, 13020
ALBION, M, 2451
BRIDGEPORT, M, 260
HARRISBURG 12WNW, M, 131
UEHLING, M, 18263
HOWELLS, M, 11635
CLARKSON, M, 4294
TEKAMAH, M, 1127
LORETTO 7W, M, 18263
TAYLOR, M, 15366
CRESCENT LAKE, M, 1149
WEST POINT, M, 153
MADISON 2W, M, 1982
ERICSON 6 WNW, M, 8297
BARTLETT 1S, M, 8358
SCOTTSBLUFF HEILIG AP, M, 6
HALSEY 2 W, M, 9772
MINATARE DAM, M, 17104
STANTON, M, 4603
ELGIN, M, 9287
BREWSTER, M, 6718
MITCHELL 5 E, M, 2880
BARTLETT 9 NW, M, 18193
HASTINGS MUNI AP, M, 11548
TEKAMAH MUNI AP, M, 11597
CANADAY STEAM PLT, M, 532
SUPERIOR 4E, M, 382
HAIGLER, M, 12201
GUIDE ROCK, M, 17857
HARLAN CO LAKE, M, 1214
BENKELMAN, M, 388
PAWNEE CITY, M, 1412
WYMORE, M, 18263
FAIRBURY, M, 300
RED CLOUD, M, 317
FRANKLIN, M, 8964
ALMA, M, 13439
BEAVER CITY, M, 245
HEBRON, M, 457
TRENTON DAM, M, 866
TABLE ROCK 4 N, M, 13065
CULBERTSON, M, 320
VIRGINIA, M, 10767
BEATRICE, M, 10929
ROSEMONT 2 S, M, 17113
EDISON, M, 16707
CAMBRIDGE, M, 481
RAGAN, M, 11617
AUBURN 5 ESE, M, 145
TECUMSEH, M, 437
MEDICINE CREEK DAM, M, 1130
RED WILLOW DAM, M, 2642
HOLDREGE, M, 607
HOLDREGE 1 E, M, 17258
SCOTTSBLUFF 1 E, M, 13728
BRIDGEPORT 18WSW, M, 13655
BROADWATER 3WNW, M, 14250
FT CALHOUN 4W, M, 14111
BUSHNELL 15S, M, 13750
SCOTTSBLUFF 10 N, M, 17830
PLAINSVIEW RCH, M, 14037
DALTON 13W, M, 17283
ANGORA 8 NE, M, 17329
HARRISON 9 NE, M, 14294
AGATE 5N, M, 17442
STANTON 7 NE, M, 14134
HARRISON 4 NW, M, 14490
CHADRON 3 NE, M, 15322
WESTON 3NW, M, 14325
HARRISON 20 SSE, M, 14137
LINCOLN 8 ENE, M, 13578
LINCOLN 11 SW, M, 13577
PLATTSMOUTH 1E, M, 18263
WHITMAN 5 ENE, M, 14508
AURORA MUNI AP, M, 16302
HOLDREGE BREWSTER FLD AP, M, 16288
ALLIANCE 19WNW, M, 16249
TRYON, M, 8808
NIOBRARA 6WSW, M, 17270
Scottsbluff Area, M, 6
Grand Island Area, 50.6, 1
North Platte Area, 48.6, 0
Lincoln Area, 51.4, 2
Norfolk Area, 49.1, 4
Omaha Area, 51.1, 2
Valentine Area, M, 12
OMAHA #1, M, 15380
OMAHA WSFO, M, 4957
MULLEN 15S, M, 16912
HEBRON MUNI AP, M, 16298
FAIRBURY #2, M, 18262
INDIANOLA 1S, M, 18133
YORK 3N, M, 15938
VIRGINIA 4SSE, M, 16083
LODGEPOLE NO 2, M, 16123
VERDEL 6SSE, M, 16182
ALLIANCE 1WNW 2, M, 17875
PILGER, M, 18263
HYANNIS, M, 9263
OAKDALE, M, 31
EWING 12 S, M, 18263
CHAMBERS, M, 3790
PURDUM, M, 2277
MULLEN, M, 6669
ALLIANCE MUNI AP, M, 11547
ALLIANCE, M, 3140
BOX BUTTE EXP STN, M, 12500
NW AG LAB, M, 16152
WALTHILL, M, 3102
ROSE 10 WNW, M, 8646
ELSMERE, M, 597
WAYNE, M, 9134
WAKEFIELD, M, 119
EWING, M, 598
BROWNLEE, M, 9721
MULLEN 21 NW, M, 5074
ELLSWORTH 15 NNE, M, 3355
NE NEBRASKA EXP STN, M, 6772
OSMOND, M, 3805
HEMINGFORD, M, 271
AGATE 3 E, M, 2121
CREIGHTON, M, 1950
O NEILL, M, 402
HAY SPRINGS 12 S, M, 3212
ATKINSON 3SW, M, 1080
AINSWORTH, M, 44
VALENTINE NWR, M, 1968
HARTINGTON, M, 506
BLOOMFIELD, M, 16280
NEWPORT, M, 56
NENZEL 20 S, M, 12006
HAY SPRINGS, M, 3465
FT ROBINSON, M, 10498
HARRISON, M, 444
RUSHVILLE, M, 11749
NIOBRARA, M, 3765
NORDEN 6 SSW, M, 18257
LYNCH, M, 7888
SPENCER 5 SSE, M, 15003
SPRINGVIEW, M, 1820
GORDON 6 N, M, 3222
GAVINS POINT DAM, M, 7331
VALENTINE MILLER FLD, M, 12
BUTTE, M, 352
